artist,click,pageview,preview,total_events,click_rate
Nipsey Hussle,2,2,0,4,100.0
Slipknot,2,2,0,4,100.0
Banda Los Sebastianes,2,2,0,4,100.0
Slowed Bunny,1,3,0,4,33.33333333333333
Los Alegres Del Barranco,2,2,0,4,100.0
EBK Young Joc,1,3,0,4,33.33333333333333
Jacquees,1,3,0,4,33.33333333333333
Luke Bryan,1,3,0,4,33.33333333333333
Niko Rubio,0,2,2,4,0.0
Jordan Davis,2,2,0,4,100.0
Chayce Beckham,2,2,0,4,100.0
TScottyy,2,2,0,4,100.0
Banda Carnaval,2,2,0,4,100.0
"Bizarrap, Snow Tha Product",0,2,2,4,0.0
Karan Aujla,2,2,0,4,100.0
Orca Vibes,1,3,0,4,33.33333333333333
Purple Llusion,0,3,1,4,0.0
Brett Young,1,3,0,4,33.33333333333333
Karol G,0,4,0,4,0.0
Zaytoven,2,2,0,4,100.0
Zedline,1,3,0,4,33.33333333333333
"Blueface, Og Bobby Billions",1,3,0,4,33.33333333333333
"Blueface, Calboy",1,2,1,4,50.0
Dee Watkins,1,3,0,4,33.33333333333333
Devour,1,3,0,4,33.33333333333333
Yung Joc,2,2,0,4,100.0
Dexta Daps,1,3,0,4,33.33333333333333
